i,minvd,maxvd
-1,0,68.55
1,0,-1.039999999999992
2,-11.69,-0.37000000000000455
3,0,68.55
4,-10.52,-0.3200000000000074
5,1.5600000000000005,0.5400000000000063
6,0,68.55
7,0,0
8,-3.706,-2.309999999999988
9,1.950000000000001,2.1599999999999966
10,0.6699999999999999,0.5900000000000034
11,3.5999999999999996,-0.01999999999999602
12,11.3,0.269999999999996
13,0,0
14,0,0
15,0,0
16,2.535,-3.9200000000000017
17,1.4620000000000002,5.909999999999997
18,-0.47999999999999865,-1.6700000000000017
19,3.41,2.6200000000000045
20,-0.10999999999999943,-7.630000000000003
21,0,-3.3700000000000045
22,0.6800000000000015,1.5799999999999983
23,4.470000000000001,-6.079999999999998
24,0.5899999999999999,-3.549999999999997
25,17.82,20.620000000000005
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,-2.5329999999999995,-0.30000000000000426
33,7.209,-3.4000000000000057
34,-6.4319999999999995,-6.349999999999994
35,-9.344000000000001,-0.1699999999999946
36,0.6899999999999995,15.219999999999999
37,-6.52,-2.680000000000007
38,3.0100000000000016,-1.3800000000000026
39,3.700000000000001,-7.140000000000001
40,-1.6600000000000001,-0.490000000000002
41,6.110000000000001,-6.920000000000002
42,4.48,0.5899999999999963
43,7.77,9.36
44,-3.790000000000001,0.18000000000000682
45,-0.5900000000000016,-0.980000000000004
46,-3.1099999999999994,0.5200000000000031
47,-2.83,-4.259999999999998
48,6.509999999999998,-7.359999999999999
49,-0.9799999999999986,-1.8999999999999915
50,-1.259999999999998,7.560000000000002
51,0,47.66
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,-3.604,-15.979999999999997
65,4.0920000000000005,-16.090000000000003
66,-5.751000000000001,-3.3500000000000014
67,-15.08,1.210000000000008
68,5.9319999999999995,6.089999999999996
69,2.2300000000000004,-2.829999999999991
70,0.9739999999999998,-13.899999999999999
71,-3.599999999999998,0.11999999999999744
72,4.169999999999998,-1.4500000000000028
73,-1.0599999999999987,-27.03
74,1.17,-7.049999999999997
75,-0.870000000000001,0.12000000000000455
76,-2.419999999999998,1.7700000000000031
77,5.240000000000002,-0.030000000000001137
78,-1.75,4.719999999999999
79,2.34,-8.259999999999998
80,2.9099999999999984,3.5799999999999983
81,0.7700000000000014,-1.8200000000000003
82,-1.4600000000000009,-0.9100000000000037
83,5.9300000000000015,-14.450000000000003
84,0.4800000000000004,-2.789999999999999
85,-7.190000000000001,3.9200000000000017
86,-1.5500000000000007,6.399999999999999
87,0.6699999999999999,-1
88,-4.17,3.3800000000000026
89,-0.5699999999999967,2.3799999999999955
90,0.2900000000000009,-1.8500000000000014
91,-1.4499999999999975,2.260000000000005
92,-0.10000000000000142,-12.369999999999997
93,-1.5500000000000007,3.710000000000001
94,1.8499999999999996,-4.240000000000002
95,-3.6900000000000013,-1.5499999999999972
96,0.2900000000000027,9.04
97,0.8699999999999992,-4.899999999999999
98,2.92,-1.9000000000000057
99,-2.33,-2.3400000000000034
100,0.7699999999999996,-8.079999999999998
101,-0.870000000000001,1.0399999999999991
102,0,47.66
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,0,0
115,0,0
116,0,0
117,0,0
118,0,0
119,0,0
120,0,0
121,0,0
122,0,0
123,0,0
124,0,0
125,0,0
126,0,0
127,0,0
128,0.7799999999999998,3.3400000000000034
129,0.48799999999999955,-1.7199999999999989
130,0.5800000000000001,5.789999999999999
131,0.8760000000000003,-9.160000000000004
132,-5.4510000000000005,7.859999999999999
133,0.08999999999999986,0.3399999999999963
134,-12.17,-4.190000000000005
135,-2.049999999999999,-2.309999999999995
136,5.450000000000001,19.240000000000002
137,-3.0119999999999996,0.28000000000000114
138,-3.110000000000001,6.719999999999999
139,6.51,9.789999999999992
140,6.620000000000001,-3.020000000000003
141,-3.6060000000000003,-5.039999999999999
142,-0.48999999999999844,-6.079999999999998
143,-1.1700000000000017,-0.19999999999999574
144,-1.1600000000000001,0.7899999999999991
145,5.699999999999999,44.9
146,0.29999999999999893,0.10999999999999943
147,0.120000000000001,-1.6499999999999986
148,-4.369999999999999,1.1499999999999986
149,-3.5100000000000016,-4.829999999999991
150,-0.5800000000000018,9.299999999999997
151,1.2600000000000016,5.489999999999995
152,-2.5299999999999976,-6.18
153,0.6000000000000014,-8.71
154,1.9299999999999997,-4.330000000000005
155,6.309999999999999,9.170000000000002
156,-1.8499999999999996,1.6700000000000017
157,-0.6799999999999979,27.27
158,0.9700000000000006,-24.76
159,-6.699999999999999,-1.009999999999998
160,0.6000000000000014,-4.009999999999998
161,3.5900000000000016,-22.39
162,2.8200000000000003,-13.400000000000006
163,-5.340000000000002,2.5900000000000034
164,-0.7800000000000011,-7.520000000000003
165,-0.09999999999999787,-4.310000000000002
166,-0.08999999999999986,-5.580000000000005
167,2.320000000000002,-7.310000000000002
168,-1.259999999999998,-8.030000000000001
169,3.3999999999999986,6.949999999999996
170,-1.0700000000000003,-4.310000000000002
171,0.7899999999999991,-13.920000000000002
172,-1.8399999999999999,1.6000000000000085
173,-0.28999999999999915,3.470000000000006
174,-0.09999999999999964,3.440000000000005
175,0.4800000000000004,0.6300000000000026
176,-2.130000000000001,9.380000000000003
177,1.9499999999999993,-0.240000000000002
178,-0.379999999999999,14.319999999999993
179,2.7300000000000004,-1.5600000000000023
180,-0.8800000000000008,7.339999999999996
181,0.4800000000000004,-1.7800000000000011
182,-1.6500000000000004,8.520000000000003
183,-0.38000000000000256,2.6400000000000006
184,-1.9499999999999993,13.25
185,-0.7799999999999976,-11.759999999999998
186,-0.5899999999999999,26.349999999999994
187,0.3000000000000007,-27.739999999999995
188,2.8200000000000003,-2.969999999999999
189,-3.5999999999999996,-8.79
190,-1.3600000000000012,-1.9200000000000017
191,-0.6699999999999982,-8.259999999999998
192,-2.91,2.280000000000001
193,4.850000000000001,-5.280000000000001
194,3.49,-1.7700000000000031
195,-5.539999999999999,-13.71
196,3.4000000000000004,2.5600000000000023
197,4.1899999999999995,-8.480000000000004
198,-4.369999999999999,-7.809999999999995
199,-1.6600000000000001,8.529999999999994
200,2.530000000000001,2.0500000000000043
201,-1.6499999999999986,1.0400000000000063
202,-1.6400000000000006,-16.68
203,0.19000000000000128,-1.1499999999999986
204,0,47.66
205,0,0
206,0,0
207,0,0
208,0,0
209,0,0
210,0,0
211,0,0
212,0,0
213,0,0
214,0,0
215,0,0
216,0,0
217,0,0
218,0,0
219,0,0
220,0,0
221,0,0
222,0,0
223,0,0
224,0,0
225,0,0
226,0,0
227,0,0
228,0,0
229,0,0
230,0,0
231,0,0
232,0,0
233,0,0
234,0,0
235,0,0
236,0,0
237,0,0
238,0,0
239,0,0
240,0,0
241,0,0
242,0,0
243,0,0
244,0,0
245,0,0
246,0,0
247,0,0
248,0,0
249,0,0
250,0,0
251,0,0
252,0,0
253,0,0
254,0,0
255,0,0
256,-0.9780000000000002,-34.660000000000004
257,4.0889999999999995,2.229999999999997
258,14.083000000000002,37.86
259,-4.281,0.3200000000000003
260,-2.4499999999999993,-32.31
261,0.7799999999999994,-4.390000000000001
262,9.126000000000001,36.36
263,-6.2219999999999995,4.840000000000003
264,-16.761,-33.79
265,1.4499999999999993,-9.82
266,4.460000000000001,42.91
267,-1.75,11.290000000000006
268,-12.37,14.740000000000002
269,-0.6799999999999997,40.220000000000006
270,2.8100000000000005,7.18
271,1.740000000000002,3.7099999999999937
272,0.7699999999999996,3.6899999999999977
273,1.8499999999999996,-3.1199999999999974
274,-4.472,-23.630000000000003
275,-6.8100000000000005,-1.8500000000000014
276,-3.4000000000000004,15.740000000000002
277,0.879999999999999,24.620000000000005
278,4.75,17.949999999999996
279,7.459999999999999,12.620000000000005
280,-0.009999999999999787,22.740000000000002
281,-1.271,-30.070000000000004
282,-6.524000000000001,-30.040000000000003
283,-8.367999999999999,-5.080000000000005
284,-1.459999999999999,1.2800000000000011
285,-6.02,21.04
286,3.360000000000003,11.620000000000005
287,2.120000000000001,-0.4399999999999977
288,0.9700000000000024,2.4399999999999977
289,0,-13.75
290,1.2800000000000011,-34.3
291,2.619999999999999,-0.4200000000000017
292,-1.3600000000000012,2.0700000000000003
293,-0.4900000000000002,3.039999999999999
294,-0.7699999999999996,15.660000000000004
295,3.410000000000002,2.539999999999999
296,1.3600000000000012,-2.3399999999999963
297,-0.010000000000001563,-2.4099999999999966
298,-6.620000000000001,-27.740000000000002
299,-6.390000000000001,-17.36999999999999
300,-1.2600000000000016,3.8400000000000034
301,-1.4499999999999993,8.670000000000002
302,0,36.05
303,1.3500000000000014,8.61
304,3.4899999999999984,4.160000000000004
305,-0.10000000000000142,-26.690000000000005
306,-2.629999999999999,-11.809999999999995
307,-1.7300000000000004,-25.229999999999997
308,0.2099999999999973,-2.460000000000001
309,-2.5199999999999996,7.650000000000006
310,-1,-18.800000000000004
311,2.040000000000001,-33.72
312,3.869999999999999,34.68
313,4.370000000000001,14.909999999999997
314,-7.159999999999998,-13.829999999999998
315,1.1700000000000017,2.379999999999999
316,4.279999999999999,7.989999999999998
317,8.09,19.33
318,-11.740000000000002,-10.79
319,-1.5700000000000003,-40.09
320,2.990000000000002,20.410000000000004
321,15.219999999999999,26.549999999999997
322,1.5699999999999967,0.5100000000000051
323,-2.4399999999999995,-38.3
324,0.18999999999999773,20.899999999999995
325,4.979999999999997,30.35
326,-6.49,-3.440000000000005
327,-4.279999999999998,-31.779999999999998
328,0.6799999999999997,-5.069999999999993
329,6.189999999999998,32.46
330,-0.1999999999999993,2.469999999999999
331,-7.890000000000001,-30.990000000000002
332,1.3499999999999979,-14.43
333,4.449999999999999,28.35
334,3.6099999999999994,4.740000000000002
335,-18.129999999999995,-30.580000000000005
336,0.2799999999999976,-20.15
337,2.900000000000002,37.3
338,-0.7600000000000016,6.919999999999995
339,-9.7,-20.660000000000004
340,1.4600000000000009,-30.27
341,4.739999999999998,40.94
342,-1.1400000000000006,0.8799999999999955
343,-6.829999999999998,-26.89
344,0.4800000000000004,-38.84
345,3.4800000000000004,31.459999999999994
346,9.32,13.950000000000003
347,-2.8900000000000006,-21.809999999999995
348,0,-30.410000000000004
349,3.59,19.009999999999998
350,19.889999999999997,23.730000000000004
351,-6.879999999999999,-4.579999999999998
352,-3.700000000000001,-46.72
353,2.6199999999999974,11.530000000000001
354,8.629999999999999,32.61
355,-2.129999999999999,11.240000000000002
356,-3.2099999999999973,-43.309999999999995
357,0.1999999999999993,8.010000000000005
358,4.93,34.84
359,2.0400000000000027,10.149999999999999
360,-13.139999999999999,-33.82
361,1.0599999999999987,-13.470000000000006
362,6.879999999999999,39.849999999999994
363,-2.710000000000001,5.810000000000002
364,-21.739999999999995,-27.460000000000008
365,2.219999999999999,-19.230000000000004
366,3.5900000000000034,41.89
367,0.5999999999999979,9.75
368,-6.699999999999999,-8.840000000000003
369,-0.7800000000000011,-12.300000000000004
370,4.559999999999999,27.900000000000002
371,0.9700000000000024,16.130000000000003
372,-6.780000000000001,-15.779999999999994
373,0.10000000000000142,-7.860000000000003
374,-0.1999999999999993,3.5
375,4.600000000000001,14.739999999999995
376,-3.5700000000000003,-8.100000000000001
377,1.3500000000000014,-38.33
378,1.950000000000001,19.510000000000005
379,19.03,25
380,-6.580000000000002,-2.1199999999999974
381,-0.3899999999999988,-44.32
382,2.3200000000000003,13.189999999999998
383,10.75,37.230000000000004
384,-4.16,9.509999999999998
385,-3.219999999999999,-30.54
386,0.6900000000000013,11.580000000000002
387,3.2900000000000027,25.830000000000002
388,0.10999999999999943,1.6000000000000014
389,-10.540000000000001,-36.8
390,1.0599999999999987,-12.880000000000003
391,3.8599999999999994,42.42
392,-2.4299999999999997,3.3699999999999974
393,-16.769999999999996,-30.799999999999997
394,1.339999999999998,-24.340000000000003
395,1.0699999999999985,-8.920000000000009
396,1.6400000000000006,31.97
397,9.780000000000001,23.779999999999994
398,-8.54,-7.169999999999995
399,-0.08999999999999986,-36.77
400,2.129999999999999,24.5
401,11.780000000000001,22.36
402,-6.190000000000001,-5.770000000000003
403,-0.19000000000000128,-42.44
404,0.6800000000000033,-4.659999999999997
405,9.290000000000003,30.709999999999997
406,-3.3099999999999987,-0.25
407,-3.120000000000001,-36.230000000000004
408,19.47,28.189999999999998
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
500,0,0
501,0,0
502,0,0
503,0,0
504,0,0
505,0,0
506,0,0
507,0,0
508,0,0
509,0,0
510,0,0
511,0,0
513,-21.387,-7.900000000000006
515,0.19499999999999984,-32.116
517,2.333000000000001,10.870000000000001
518,-16.591,-37.56
520,0.7799999999999994,-0.7899999999999991
522,0.870000000000001,22.630000000000003
523,-0.09999999999999964,-27.990000000000002
525,2.136,5.23
527,13.670000000000002,30.79
528,1.0709999999999997,-12.579999999999998
530,3.490000000000002,21.889999999999997
531,-3.8999999999999986,-33.34
532,21.27,14.68
533,1.3599999999999994,3.6799999999999997
534,-30.119999999999997,-16.590000000000003
536,-36.07,-24.14
537,3.880000000000001,28.939999999999998
538,-12.020000000000001,-4.510000000000005
539,0.7800000000000011,3.349999999999998
540,2.16,7.260000000000005
542,11.629999999999999,31.81
543,-4.670000000000002,-37.790000000000006
545,-16.109999999999996,-10.89
547,3.030000000000001,6.689999999999998
548,1.654,-19.35
550,0.20000000000000107,-40.56
552,-15.58,-31.730000000000004
553,1.3299999999999983,29.17
555,1.8399999999999999,9.189999999999998
556,-0.19000000000000128,5.219999999999992
557,0.9699999999999989,-25.819999999999997
558,16.88,16.380000000000003
559,-0.4800000000000004,-24.359999999999996
560,2.5199999999999996,29.89
562,3.700000000000001,6.719999999999999
563,-13.799,-0.1600000000000037
564,6.6240000000000006,-5.91
565,15.43,9.660000000000004
567,14.36,30.700000000000003
568,-11.599999999999998,-30.18
570,-26.130000000000003,-8.199999999999996
572,4.619999999999997,-0.44000000000000483
573,1.1700000000000017,-28.439999999999998
575,-0.4800000000000004,-40.46
577,-20.75,-22.28
579,-9.110000000000003,-2.809999999999995
580,1.8399999999999999,-2.5900000000000034
581,8.990000000000002,7.729999999999997
582,2.040000000000001,2.0199999999999996
583,2.619999999999999,4.790000000000001
584,-0.6799999999999997,-9.18
585,0.7799999999999994,6.139999999999999
586,-3.709999999999999,-5.460000000000001
587,1.3599999999999994,5.65
589,0.1899999999999995,-14.169999999999998
590,13.899999999999999,8.560000000000002
592,9.219999999999999,30.36
